Vereador;Partido;Aprovado;Ementa;Texto
Jorge da Farmácia;PSDB;sim;DENOMINA PRAÇA JAIME GREGORIO DA COSTA UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominada Praça Jaime Gregorio da Costa a Praça 20 (Quarteirão 16.848, Código Cartográfico 3421.6287.0001 , com área de 580,00m2) do loteamento Jardim das Paineiras, situada entre a Rua Presidente Prudente (Rua 29) e a Rua Redenção da Serra (Rua 28), no mesmo loteamento.
Jorge da Farmácia;PSDB;sim;INCLUI O DIA MUNICIPAL DO SISTEMA BRAILLE NO CALENDÁRIO OFICIAL DO MUNICÍPIO, A SER CELEBRADO, ANUALMENTE, NO DIA 8 DE ABRIL.;"Art. I P Fica incluído o Dia Municipal do Sistema Braille no calendário oficial do município, a ser celebrado, anualmente, no dia 8 de abril.
Art. 2 2 No Dia Municipal do Sistema Braille, os setores público e privado poderão realizar eventos destinados a reverenciar a memória de Louis Braille, divulgando e destacando a importância do Sistema Braille na educação, habilitação, reabilitação e profissionalização da pessoa cega, por meio de ações que:
I	- fortaleçam o debate social acerca dos direitos da pessoa cega e de sua plena integração na sociedade;
II	- promovam a inserção da pessoa cega no mercado de trabalho;
III	- difundam orientações sobre a prevenção da cegueira;
IV	- difundam informações sobre a acessibilidade material da pessoa cega à informação e à comunicação, pela aplicação de novas tecnologias;
V	- incentivem a produção de textos em braille;
VI	- promovam a capacitação de profissionais para atuar na educação, habilitação e reabilitação da pessoa cega, bem como na editoração de textos em braille."
Jorge da Farmácia;PSDB;sim;DENOMINA PRAÇA ISMAIL ESSOP HATIA UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominada Praça Ismail Essop Hatia a Praça 07 (Quarteirão 6607, Código Cartográfico 3263.5298.0001, com área de 2.100,00m 2 ) do loteamento Parque São Quirino, situada entre a Rua Euclydes Vieira (Rua 03), a Rua Adelino Fernandes Serra (Rua 04) e a Rua Domingos de Rocco (Rua 10), no mesmo loteamento.
Jorge da Farmácia;PSDB;sim;ALTERA A DENOMINAÇÃO DE PRAÇA PÚBLICA PARA PRAÇA PATRICK RANIERY ALVES SILVA SOUZA.;"Art. 1 2 Fica alterada a denominação da praça pública localizada entre a Rua José T rani e a Rua João Purchio, no Parque Via Norte, dada pela Lei n? 10.732, de 21 de dezembro de 2000, de Praça Batalha dos Guararapes para Praça Patrick Raniery Alves Silva Souza.
Art. 2 2 As despesas decorrentes desta Lei correrão por conta de dotações orçamentárias próprias, suplementadas se necessário."
Jorge da Farmácia;PSDB;não;DISPÕE SOBRE A OBRIGATORIEDADE DOS HIPERMERCADOS, SUPERMERCADOS E ESTABELECIMENTOS COMERCIAIS CONGÊNERES DO MUNICÍPIO DE CAMPINAS, DE DISPONIBILIZAREM FUNCIONÁRIOS CAPACITADOS PARA AUXILIAREM AS PESSOAS COM DEFICIÊNCIA VISUAL A EFETUAREM SUAS COMPRAS E DÁ OUTRAS PROVIDÊNCIAS.;"Art. 10 Ficam obrigados todos os hipermercados, supermercados e estabelecimentos comerciais congêneres, do Município de Campinas, a disponibilizarem funcionários capacitados para auxiliarem as pessoas com deficiência visual a efetuarem suas compras.
S 1 0 A capacitação a que se refere o caput deste artigo deverá conter, no mínimo, as seguintes informações:
 noções sobre a Convenção sobre os Direitos das Pessoas com Deficiência e legislação vigente no Brasil;
II	— inclusão e acessibilidade das pessoas com deficiência;
III	— formas de atendimento à pessoa com deficiência.
S 2 0 Os estabelecimentos referidos no caput deste artigo poderão firmar convênios com entidades representativas das pessoas com deficiência visual a fim de promover a capacitação de seus funcionários.
Art. 20 — Qualquer munícipe poderá denunciar o descumprimento desta lei ao órgão competente da Prefeitura Municipal de Campinas.
Art. 30 Os hipermercados, supermercados e estabelecimentos comerciais congêneres terão o prazo de 60 (sessenta) dias para se adequarem a esta lei.
Art. 40 - Os estabelecimentos que descumprirem os dispositivos da referida Lei, estarão sujeitos as seguintes penalidades:
I	— Advertência;
II	— Multa no valor de 150 ufic x s, se após advertência, a infração persistir;
III	— Multa em dobro em caso de reincidência.
"
Jorge da Farmácia;PSDB;sim;DENOMINA PARQUE ECOLÓGICO BENEVENUTO TILLI UM REMANESCENTE DE PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominado Parque Ecológico Benevenuto Tilli o remanescente da Praça 03 (Quarteirão 6686, Código Cartográfico 5213.5477.0002, Certidão Gráfica A2-230, com área de 64.090,44m2) do loteamento Jardim São Domingos, situado entre a Rua Mário José de Oliveira (Rua 15), a Avenida Marginal, a Rua Juvenal de Oliveira (Rua 16), parte da mesma Praça 03 e a Praça 02, todas no mesmo loteamento.
Jorge da Farmácia;PSDB;sim;INSTITUI NO CALENDÁRIO OFICIAL DO MUNICÍPIO DE CAMPINAS O MÊS MARÇO ROXO, DEDICADO À DEFESA DOS DIREITOS DA PESSOA COM EPILEPSIA.;"Art. I Q Fica instituído no calendário oficial do município de Campinas o mês Março Roxo, dedicado à defesa dos direitos da pessoa com epilepsia.
Art. 2 2 0 mês Março Roxo será dedicado a ações educativas, de reflexão, de avaliação e de melhoria, visando diminuir as barreiras atitudinais em relação às pessoas com epilepsia e favorecer sua inclusão na sociedade.
Art. 3 2 A Prefeitura Municipal de Campinas poderá realizar ações educativas relacionadas à defesa dos direitos da pessoa com epilepsia, assim como promover ações de avaliação da situação do acesso da pessoa com epilepsia aos serviços de saúde e de sua inclusão ern escolas e no mercado de trabalho, inclusive com o encaminhamento de projetos que visem garantir de forma contínua os seus direitos.
Parágrafo único. A Prefeitura Municipal de Campinas poderá firmar parceria com entidades e organizações afins para promover as ações de que trata o caput."
Jorge da Farmácia;PSDB;sim;DENOMINA PRAÇA CARMEN RODRIGUES MONTAGNINI UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominada Praça Carmen Rodrigues Montagnini a praça sem designação identificada pelo Código Cartográfico 3411.4141.0001 (Quarteirão 6212), do loteamento Vila Boa Vista, situada entre a Rua das Taiúvas (Rua 23), a Rua das Acácias (Rua H) e a Rua das Caviúnas (Rua 24), no mesmo loteamento.
Jorge da Farmácia;PSDB;não;INSTITUI, NO MUNICÍPIO DE CAMPINAS, O USO DO COLAR DE GIRASSOL COMO INSTRUMENTO AUXILIAR DE ORIENTAÇÃO, PARA IDENTIFICAÇÃO DE PESSOAS COM DEFICIÊNCIA NÃO VISÍVEL.;"Art. 1 2 Fica instituído, no município de Campinas, o uso do Colar de Girassol como instrumento auxiliar de orientação, para identificação de pessoas com deficiência não visível.
Parágrafo único. Considera-se pessoa com deficiência não visível aquela com deficiência não aparente e não identificada de maneira imediata.
Art. 2 2 Para conhecimento da população, o Poder Executivo poderá dar publicidade, através dos órgãos competentes e por meio de instrumentos e mecanismos adequados à divulgação, do uso do Colar de Girassol por pessoas com deficiência não visível ou por seus familiares.
Art. Ficam os estabelecimentos públicos e privados obrigados a orientar seus colaboradores e funcionários sobre a possibilidade de as pessoas com deficiência não visível ou seus familiares utilizarem o Colar de Girassol como meio de identificação da deficiência."
Jorge da Farmácia;PSDB;sim;RECONHECE, NO ÂMBITO DO MUNICÍPIO DE CAMPINAS, A VISÃO MONOCULAR COMO DEFICIÊNCIA VISUAL.;"Art. 10 - Fica reconhecida como deficiência visual, no âmbito do município de Campinas, a visão monocular, nos termos da Lei Estadual N O 14.481, de 13 de julho de 2011.
Parágrafo único. Os direitos da pessoa com deficiência previstos na legislação municipal aplicam-se às pessoas com visão monocular."
Jorge Schneider;PTB;sim;DENOMINA PRAÇA BENEDITO CARLOS MARTINS UM SISTEMA DE LAZER DO MUNICÍPIO DE CAMPINAS.;"Art. 1 Fica denominado Praça Benedito Carlos Martins o Sistema de Lazer 02 (Quarteirão 17.039, Código Cartográfico 3413.2420.0526, com área de 1.109,03m 2) do loteamento Residencial Jardim Irene, situado entre a Rua 02 e a Área Verde 2, no mesmo loteamento.
Art. 2 Esta Lei entra em vigor na data de sua publicação."
Jorge Schneider;PTB;sim;DECLARA ÓRGÃO DE UTILIDADE PÚBLICA MUNICIPAL A ASSOCIAÇÃO GATOS DA LAGOA.;Art. 1º Fica declarada órgão de utilidade pública municipal a Associação Gatos da Lagoa, A, situada no município de Campinas-SP, inscrita no Cadastro Nacional da Pessoa Jurídica — CNPJ sob o número 21.657.568/0001-50. 
Jorge Schneider;PTB;sim;DENOMINA PRAÇA ANTONIO CARLOS BALTAZAR - PINDUCA O REMANESCENTE DE UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;"Art. 1 0 Fica denominado Praça Antonio Carlos Baltazar — Pinduca o remanescente 01 da praça sem designação identificado pelo Código Cartográfico 3413.5472.0073 (Quarteirão 6144) e com área de 1.553,24m 2), do loteamento Vila Castelo Branco, situado entre a Rua Basilio da Gama (Rua 38), a Rua Castel Nuovo (Rua ""A""), a Rua Pastor Osvaldo Alves Martins (Rua 39) e as Partes 1 e 2 da própria praça sem designação, no mesmo loteamento."
Jorge Schneider;PTB;sim;DECLARA ÓRGÃO DE UTILIDADE PÚBLICA MUNICIPAL A ASSOCIAÇÃO EVANGÉLICA BENEFICENTE DAVID ROWE.;Art. 1 2 Fica declarada órgão de utilidade pública municipal a Associação Evangélica Beneficente David Rowe, situada no município de Campinas — SP e inscrita no Cadastro Nacional da Pessoa Jurídica — CNPJ sob o número 04.111.197/0001-97.
Jorge Schneider;PTB;não;"ALTERA A EMENTA E O CAPUT DO ART. 1º DA LEI Nº 13.906, DE 21 DE SETEMBRO DE 2010, QUE ""PERMITE O USO DE FAIXAS EXCLUSIVAS DE ÔNIBUS POR TÁXIS, ÔNIBUS OU VANS ESCOLARES E ÔNIBUS OU VANS DE PASSAGEIROS DE EMPRESAS EM GERAL"".";"Art. 1º  Fica alterada a ementa da Lei nº 13.906, de 21 de setembro de 2010, que passa a vigorar com a seguinte redação:
“Permite o uso de faixas exclusivas de ônibus por táxis, vans escolares e ônibus escolares.” (NR)
Art. 2º  Fica alterado o caput do art. 1º da Lei nº 13.906, de 2010, que passa a vigorar com a
seguinte redação:
“Art. 1º  Fica permitida a utilização de faixas exclusivas para ônibus do transporte coletivo urbano por táxis, vans escolares e ônibus escolares do município de Campinas.
...............................................” (NR) "
Jorge Schneider;PTB;sim;DECLARA ÓRGÃO DE UTILIDADE PÚBLICA MUNICIPAL A ENTIDADE FILHAS DA POBREZA DO SANTÍSSIMO SACRAMENTO.;Art. I P Fica declarada órgão de utilidade pública municipal a entidade Filhas da Pobreza do Santíssimo Sacramento, situada no município de Campinas (SP), inscrita no Cadastro Nacional da Pessoa Jurídica — CNPJ sob o número 18.163.697/0010-78.
Jorge Schneider;PTB;sim;INCLUI NO CALENDÁRIO OFICIAL DO MUNICÍPIO DE CAMPINAS O DIA MUNICIPAL DE CONSCIENTIZAÇÃO SOBRE A SÍNDROME DE EDWARDS – T18.;"Art. I P Fica instituído no calendário oficial do município de Campinas o Dia Municipal de Conscientização sobre a Síndrome de Edwards —T 18, a ser comemorado anualmente no dia 6 de maio.
Art. 2 2 0 Poder Público municipal poderá apoiar eventos ligados à comemoração da data criada por esta Lei, inclusive autorizando a realização de atividades educativas e culturais.
Art. 3 2 As despesas decorrentes da execução desta Lei correrão por conta de dotações orçamentárias próprias, suplementadas se necessário."
Jota Silva;PSB;sim;DENOMINA PRAÇA DURVAL GETULIO VARGAS BIONDI UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominada Praça Durval Getulio Vargas Biondi a Praça 08 (Quarteirão 17.351, Código Cartográfico 3421.1172.0001, com área de 1.000,00m2) do loteamento Jardim Nossa Senhora Auxiliadora, situada entre a Rua Teófilo Braga (Rua 14), a Rua Inês de Castro (Ruas 08 e 12) e a Rua Armando Rovaris (Rua 35), no mesmo loteamento.
Jota Silva;PSB;sim;DENOMINA PRAÇA CONSTRUTOR DOMINGOS NICOLUCCI UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominada Praça Construtor Domingos Nicolucci a Praça 02 (Quarteirão 9643, Código Cartográfico 3263.1285.0001, com área de 566,96m 2) do loteamento Residencial Villa Bella, situada entre a Rua Aglair Buratto Villas Boas (Rua 01) e a Rua Álvaro Bosco (Ruas 05 e 06), no mesmo loteamento.
Jota Silva;PSB;não;INSTITUI O PROGRAMA HABITACIONAL DO SERVIDOR PÚBLICO EFETIVO DO MUNICÍPIO DE CAMPINAS NO ÂMBITO DO PROGRAMA MINHA CASA, MINHA VIDA.;"Art. I Q Fica instituído o Programa Habitacional do Servidor Público Efetivo do Município de Campinas, destinado a incentivar a produção de moradias e sua aquisição por servidores civis no âmbito do Programa Minha Casa, Minha Vida -- PMCMV ou outro que venha a substituí-lo na esfera federal.
S 1 2 0 programa instituído por esta Lei abrangerá as faixas 1,5, 2 e 3 do PMCMV ou as equivalentes de programa que venha a substituí-lo.
S 2 2 Para a concretização do disposto nesta Lei, serão destinadas aos servidores públicos efetivos unidades habitacionais a serem construídas em área pública no município de Campinas designada pelo Poder Executivo.
S 3 2 Na falta da área de que trata o S 2 2 , serão utilizados imóveis urbanos localizados em qualquer bairro, cujas unidades serão sorteadas entre servidores públicos municipais ativos, conforme legislação vigente.
S 4 2 No procedimento de seleção dos interessados, caso não haja servidores municipais devidamente habilitados em número suficiente para a destinação da totalidade das unidades habitacionais indicadas, as remanescentes serão destinadas aos servidores efetivos do Estado residentes no rnunicípio de Campinas, conforme a respectiva faixa de renda, edital específico e autorização do chefe do Poder Executivo municipal.
S 5 2 0 Programa de Apoio à Produção de Habitações destina-se à produção e à comercialização de unidades habitacionais novas por intermédio da concessão de financiamento a pessoas físicas na condição de adquirentes finais das unidades habitacionais.
Art. 2 2 Para habilitar-se ao sorteio das unidades residenciais de que trata esta Lei, o interessado deverá atender aos seguintes requisitos cumulativamente:
I	- estar enquadrado nas faixas de renda 1,5, 2 ou 3 do PMCMV ou nas equivalentes de
programa que venha a substituí-lo na esfera federal;
II	- ser servidor público efetivo municipal;
III	- não possuir imóvel, urbano ou rural, em nome próprio no país;
IV	- não ter recebido auxílio anterior para aquisição de moradia ou benefícios da mesma natureza;
V	- cumprir as demais determinações do PMCMV ou de programa que venha a substituí-lo na esfera federal relativas à respectiva faixa de renda;
VI	- atender, assim como as pessoas que integram sua renda familiar, às condições exigidas pelo programa de financiamento adotado;
VII	- não ter recebido benefício habitacional da Companhia de Habitação Popular de Campinas — Cohab Campinas ou de outro agente;
 possuir crédito pré-aprovado pelo banco responsável pela concessão do crédito habitacional;
IX	- autorizar a utilização das informações cadastrais constantes na Secretaria Municipal de Planejamento e Urbanismo e na Cohab Campinas para a verificação de enquadramento no programa; e
X	- não possuir financiamento de imóvel no país.
S 1 2 0 disposto nos incisos III e IV aplica-se também ao cônjuge ou convivente do servidor.
S 2 2 0 requisito constante do inciso III não será considerado atendido caso a propriedade anterior de imóvel urbano tenha sido alienada há menos de um ano da publicação desta Lei.
S 3 2 Somente o servidor público municipal efetivo poderá aderir ao programa instituído por esta Lei, com limite de uma adesão por núcleo familiar.
Art. 3 2 A seleção dos servidores públicos efetivos interessados na aquisição das unidades residenciais de que trata esta Lei será realizada pela Cohab Campinas ou por outro meio a ser estabelecido pela Secretaria Municipal de Planejamento e Urbanismo, que deverá expedir edital para publicidade dos critérios e procedimentos relativos ao processo de inscrição, seleção e convocação dos interessados.
Parágrafo único. Os interessados que se inscreverem no prazo estipulado em edital e forem sorteados serão classificados em ordem decrescente de precedência para a aquisição da 
unidade residencial de acordo com os seguintes critérios: 
I	- primeiro, os servidores públicos efetivos com alguma deficiência;
II	- segundo, os servidores públicos efetivos que morem com dependentes ou parentes com deficiência física ou mental, desde que o grau de parentesco seja de até terceiro grau; e
III	- por último, os demais servidores públicos, classificados sequencialmente pela maior idade.
Art. 4 2 Não serão admitidos no programa instituído por esta Lei:
I	- servidores ocupantes exclusivamente de cargo em comissão ou de função de confiança;
II	- servidores admitidos em caráter temporário;
 - servidores de outros estados ou municípios ou de outras esferas de governo, mesmo quando prestando serviços em órgão municipal;
IV	- funcionários terceirizados e prestadores de serviço na Administração Pública municipal;
V	- aposentados e pensionistas.
Art. 5 2 As custas e os emolumentos devidos pelos atos de abertura de matrícula, registro de incorporação, parcelamento do solo, averbação de construção, instituição de condomínio, registro de Certificado de Conclusão de Obra (""Habite-se"") e demais atos referentes à construção dos empreendimentos serão reduzidos nos percentuais estabelecidos em lei vigente.
Art. 6 P A isenção do Imposto sobre a Propriedade Predial e Territorial Urbana - IPTU e do Imposto sobre a Transmissão de Bens Imóveis — IT BI relativos ao imóvel residencial adquirido ou financiado será em conformidade com a legislação atual.
Art. 7 2 Os imóveis de que trata esta Lei serão doados nos termos regulamentares do Sistema Financeiro de Habitação — SFH e do Fundo de Garantia do Tempo de Serviço — FGTS, com o encargo de serem destinados para a execução dos empreendimentos habitacionais realizados no âmbito do PMCMV ou outro que venha a substituí-lo e de as unidades residenciais serem transferidas onerosamente aos interessados sorteados, habilitados, aprovados pela instituição financeira pública federal e efetivamente contratados.
Art. 8 2 Para a concessão dos benefícios de que trata esta Lei, os servidores interessados deverão realizar cadastramento habitacional específico, munidos dos documentos pessoais necessários.
Art. 9 2 Caberá à Cohab Campinas e à Secretaria Municipal de Planejamento e Urbanismo, no âmbito de suas atribuições, a fiscalização do cumprimento do disposto nesta Lei.
Art. 10. Os benefícios desta Lei vinculam-se aos projetos habitacionais de interesse específico iniciados e ainda não concluídos destinados ao PMCMV ou outro que vier a ser instituído pela esfera federal, desde que atenda à demanda prevista nesta Lei.
Art. 11. O chefe do Poder Executivo municipal, na qualidade de interveniente anuente dos contratos de financiamento habitacional, assinará a transferência das frações ideais correspondentes às unidades contratadas pelos servidores efetivos com a instituição financeira pública federal.
S 1 2 A transferência realizada de acordo com a autorização de que trata o caput ficará automaticamente revogada, revertendo a propriedade das frações ideais ao domínio pleno da Municipalidade, em caso de desistência ou qualquer outro motivo justificado.
S 2 2 Os novos beneficiários serão definidos por sorteio, conforme orientações expressas nos SS I P , 2 2 3 2 e 4 2 do art. I P desta Lei.
Art. 12. As despesas com a execução desta Lei correrão por conta de dotações próprias do orçamento.
Art. 13. Esta Lei será regulamentada por decreto, no que for necessário."
Jota Silva;PSB;sim;INSTITUI NO CALENDÁRIO OFICIAL DO MUNICÍPIO DE CAMPINAS O MÊS MARÇO ROXO, DEDICADO À DEFESA DOS DIREITOS DA PESSOA COM EPILEPSIA.;"Art. I Q Fica instituído no calendário oficial do município de Campinas o mês Março Roxo, dedicado à defesa dos direitos da pessoa com epilepsia.
Art. 2 2 0 mês Março Roxo será dedicado a ações educativas, de reflexão, de avaliação e de melhoria, visando diminuir as barreiras atitudinais em relação às pessoas com epilepsia e favorecer sua inclusão na sociedade.
Art. 3 2 A Prefeitura Municipal de Campinas poderá realizar ações educativas relacionadas à defesa dos direitos da pessoa com epilepsia, assim como promover ações de avaliação da situação do acesso da pessoa com epilepsia aos serviços de saúde e de sua inclusão ern escolas e no mercado de trabalho, inclusive com o encaminhamento de projetos que visem garantir de forma contínua os seus direitos.
Parágrafo único. A Prefeitura Municipal de Campinas poderá firmar parceria com entidades e organizações afins para promover as ações de que trata o caput."
Juscelino da Barbarense;PP;não;DISPÕE SOBRE A PERMISSÃO PARA EMBARQUE E DESEMBARQUE DAS PESSOAS COM DEFICIÊNCIA FÍSICA E DE MOBILIDADE FORA DOS PONTOS REGULARES DO TRANSPORTE COLETIVO NO MUNICÍPIO DE CAMPINAS.;"Art 1º Os usuários com deficiência ou mobilidade reduzida que utilizem o Transporte Coletivo Urbano de Passageiros poderão optar pelo embarque e desembarque em local acessível, ainda que na inexistência de ponto regular, respeitado o itinerário original da linha e a legislação de trânsito. 

Art. 2º Na impossibilidade de parada no local indicado por proibição estabelecida no Código Nacional de Trânsito ou legislação correlata deverá ser observado pelo condutor do veículo de transporte coletivo o local mais proximo ao indicado, desde que garantida a segurança dos usuarios. 

Art. 3º O direito de embarque e desembarque estabelecido na presente Lei não se aplica aos corredores exclusivos de ônibus do Sistema Público de Transporte, devendo, nestas vias, ser feito exclusivamente nas paradas obrigatórias, estações e terminais urbanos. 

Art. 4º O descumprimento ao previsto no artigo 1º desta Lei, sujeita a empresa concessionária às seguintes penalidades: 

I - advertência na primeira ocorrência; 

II - multa de 500 UFICs (Quinhentas Unidades Fiscais de Campinas) na segunda ocorrência. Paragrafo único. Aplica-se em dobro a multa no caso de reincidência no período de doze meses da infração anterior. 

Art 5º A Secretaria de Municipal de Trânsito será a responsável por disciplinar, coordenar e supervisionar as ações reguladas por esta Lei e aplicar as penalidades. 

Art. 6º As despesas decorrentes da execução desta Lei correrão por conta de dotações próprias consignadas em Orçamento, suplementadas se necessário. "
Juscelino da Barbarense;PP;não;INSTITUI A IMPLANTAÇÃO DE FAIXA DE RETENÇÃO E RECUO EXCLUSIVO PARA MOTOCICLETAS NAS VIAS PÚBLICAS EQUIPADAS COM SEMÁFOROS NO MUNICÍPIO DE CAMPINAS.;"Art. 10 Fica instituída a implantação de faixas de retenção e recuo exclusivo para motocicletas nas vias públicas de Campinas equipadas com semáforos, as quais deverão ocupar o espaço entre a faixa de pedestre e o limite de parada dos carros medindo espaço variável de 2,5 a 3 metros,
Parágrafo único. Para os fins desta Lei, considera-se bolsão de proteção o espaço livre demarcado antes da faixa de retenção, exclusivo para que motociclistas se posicionem à frente dos demais veículos automotores, enquanto aguardam a liberação do semáforo para transitar.
Art. 20 A sinalização de que trata o art. 10 será de acordo com as normas fixadas pela Resolução no 550, de 17 de setembro de 2015, do Conselho Nacional de Trânsito - CONTRAN.
Art. 30 As despesas decorrentes da execução desta Lei correrão por conta de dotações próprias consignadas em Orçamento, suplementadas se necessário."
Juscelino da Barbarense;PP;não;OBRIGA OS POSTOS DE GASOLINA DO MUNICÍPIO DE CAMPINAS A IMPLANTAR MANGUEIRAS TRANSPARENTES EM SUAS BOMBAS DE COMBUSTÍVEL.;"Art. I P Os postos de gasolina do município de Campinas ficam obrigados a implantar mangueiras transparentes em suas bombas de combustível.
Parágrafo único. Consideram-se transparentes as mangueiras pelas quais seja possível ver a cor do combustível e a passagem deste da bomba até o veículo automotor.
Art. 2 Q Os estabelecimentos que não cumprirem o disposto nesta Lei ficam sujeitos à aplicação de multa no valor de 3.000 (três mil) Unidades Fiscais de Campinas — UFICs e à suspensão das atividades até a efetiva adequação a esta Lei."
Juscelino da Barbarense;PP;não;INSTITUI O BANCO MUNICIPAL DE ÓCULOS PROVENIENTES DE DOAÇÕES DE PESSOAS FÍSICAS E JURÍDICAS PARA DESTINAÇÃO À PESSOAS CARENTES.;"Art. 10 Fica instituído o Banco de Oculos para fornecimento gratuito à pessoas carentes e de baixa renda, provenientes de doações de pessoas físicas e jurídicas no município de Campinas.
Art. 20 As armações e lentes obtidas à partir da doação e coleta voluntária de óculos novos ou usados, em bom estado de conservação podem ser realizadas por qualquer pessoa física e jurídica em locais estabelecidos pela Secretaria de Saúde do município de Campinas.
Art. 0 30 Regulamentação posterior disporá sobre os critérios para cadastro dos beneficiários desta lei serão o qual será realizado e gerido pela secretaria de Saúde do Município de Campinas.
Parágrafo único. Os beneficiados com esta Lei deverão apresentar receituário que ateste a necessidade do uso de óculos.
Arto 4. A Secretaria de Saúde deverá disponibilizar urnas coletoras em locais definidos pela mesma para as doações, bem como incentivará a doação através de campanhas e pela fixação de cartazes informativos.
Art. 50 0 Poder Executivo Municipal poderá firmar parcerias com empresas de óticas da cidade, para que ofereçam descontos aos beneficiados com esta lei, na venda das lentes de grau para as armações."
Juscelino da Barbarense;PP;não;DISPÕE SOBRE A PERMISSÃO DE CIRCULAÇÃO DE VEÍCULOS DO TRANSPORTE POR APLICATIVOS NAS FAIXAS EXCLUSIVAS DO TRANSPORTE PÚBLICO NO MUNICÍPIO DE CAMPINAS.;"Arto 10 — Fica autorizada a circulação de veículos de transporte por aplicativo em todas as faixas e pistas exclusivas de que compõem os ""Corredores Exclusivos de Ônibus do Sistema de Transporte Público"", nas seguintes condições:
I	— com passageiro, em qualquer horário e dia da semana;
II	— com ou sem passageiro de 2a a 6a feiras, no horário das 20hOO às 06hOO e aos sábados, domingos e feriados, por período integral.
Parágrafo Único - Os veículos da que transitarem nos locais referidos no ""caput"", deverão estar devidamente identificados e não poderão ter qualquer película de escurecimento nos vidros que dificulte a visualização interna pelos agentes de fiscalização.
Art. 2 0 Ficam terminantemente proibidos o embarque e o desembarque de passageiros de veículos da modalidade ""transporte por aplicativo"" nas faixas de ônibus à esquerda que compõem os ""Corredores Exclusivos de Ônibus do Sistema de Transporte Público"", bem como em estações de transferência que compõem o sistema.
Art. 30 — A inobservância do disposto nesta Portaria acarretará aos infratores as penalidades previstas na Lei Federal n o 9.503, de 23 de Setembro de 1997, que instituiu o Código de Trânsito Brasileiro - CTR "
Juscelino da Barbarense;PP;não;DISPÕE SOBRE A CRIAÇÃO DA CENTRAL MUNICIPAL DE INTÉRPRETES DE LÍNGUA BRASILEIRA DE SINAIS - LIBRAS PARA ATENDIMENTO REMOTO AOS PORTADORES DE DEFICIÊNCIA AUDITIVA NO MUNICÍPIO DE CAMPINAS.;"Art. 10 Art. 10 Fica o Poder Executivo autorizado a criar a Central Municipal de Intérpretes de Língua Brasileira de Sinais - Libras, destinada à comunicação virtual com pessoas com deficiência auditiva, de modo a assegurar o seu atendimento em período integral, junto aos órgãos públicos Municipais que não dispuser de servidor proficiente em LIBRAS.
  1 0 A Central poderá ter tecnologia para transferência de imagem imediata para as recepções das repartições públicas Estaduais, a serem definidas pelo Executivo, também devidamente equipadas com a necessária tecnologia disponível, com o objetivo de facilitar e agilizar a comunicação com as pessoas com deficiência auditiva através da Libras por vídeo instantâneo entre os intérpretes da Central e estas pessoas.
Art. 20 A Central deverá ser composta por um número mínimo permanente de intérpretes suficiente para possibilitar a prestação do serviço de interpretação de forma que haja atendimento 24 horas por dia.
Art. 30 Será Disponibilizada obrigatoriamente em toda Rede pública de Saúde de Campinas equipamentos para realização de videoconferência destinado a interprete de LIBRAS de forma a garantir o pronto atendimento das pessoas portadoras de deficiência auditiva.
Art. 40 A presente Lei será regulamentada, de acordo com as normas técnicas a serem estabelecidas, pelo Executivo dentro de 90 (noventa) dias de sua publicação.
Parágrafo Único - O serviço instituído por esta lei deverá estar em funcionamento no prazo de 180 (cento e oitenta) dias após sua regulamentação.
Art. 50 As despesas decorrentes da execução desta lei correrão por conta de dotações orçamentárias próprias, suplementadas se necessário."
